Name,ChemFormula,O_C_ratio,RT1,RT2,Retention_index,d_alkane_RTI,Func_group_cat,Haofei_cat
retene,,,57.64964783,1.047520425,2267,2267.741935,PAH,
SESQ1,C15H24,,32.1764452,0.568653945,1404,1404.371585,Sesq,
SESQ2,C15H24,,33.73758317,1.626150755,1449,1449.180328,Sesq,
SESQ3,C15H24,,33.50912396,0.63848864,1442,1442.622951,Sesq,
SESQ4,C15H24,,33.81373625,0.65844141,1451,1451.36612,Sesq,
SESQ5,C15H24,,34.4991139,0.61853587,1471,1471.038251,Sesq,
SESQ6,C15H24,,35.29872115,0.61853587,1493,1493.989071,Sesq,
SESQ7,C15H24,,36.8217826,0.53872479,1537,1537.704918,Sesq,
SESQ8,C15H24,,37.92600214,0.49881925,1569,1569.398907,Sesq,
SESQ9,C15H24,,39.33483398,1.067473195,1610,1610.97561,Sesq,
sinapinaldehyde,,,51.74778474,1.53636329,2032,2032.592593,Aldehyde,
squalene,,,70.44336395,0.5985831,2868,2868.686869,Misc,
stigmasterol,,,78.85827843,0.85796911,3344,3344.827586,Misc,
syringaldehyde,,,42.95210491,1.326859205,1726,1726.829268,Aldehyde,
syringic acid,,,48.77781493,0.87792188,1924,1924.832215,Acid,
syringol,,,32.67144016,0.81806357,1418,1418.579235,Alcohol,
threitol,,,36.25063456,0.528748405,1521,1521.311475,Alcohol,
triacetin,,,30.386848,2.11499362,1362,1362.952186,Misc,
tridecanal (?),,,36.8217826,0.927803805,1537,1537.704918,Aldehyde,
vanillic acid,,,44.89400825,0.87792188,1789,1789.02439,Acid,
vanillin,,,37.54523678,1.33683559,1558,1558.469945,Aldehyde,
verbenone (-),,,25.09420948,2.065111695,1237,1237.171543,Ketone,
xanthone,,,48.24474342,1.37674113,1906,1906.040268,Ketone,
