BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
552,"2-[4-methyl-6-(2,6,6-trimethylcyclohex-1-enyl)hexa-1,3,5-trienyl]cyclohex-1-en-1-carboxaldehyde",,,,true,3248.8372093023263,,5913,mainlib,216092,638,661,23.719999313354492,,0,76.61470086946305,0.9371659819555869,18.55663355042998,812.867234431114,,,0.0,0.0,0.0
787,"1H-2,8a-Methanocyclopenta[a]cyclopropa[e]cyclodecen-11-one, 1a,2,5,5a,6,9,10,10a-octahydro-5,5a,6-trihydroxy-1,4-bis(hydroxymethyl)-1,7,9-trimethyl-, [1S-(1α,1aα,2α,5ß,5aß,6ß,8aα,9α,10aα)]-",,,,true,3369.7674418604647,,6245,mainlib,67519,675,716,40.119998931884766,,0,78.59338393916644,1.3957791220615123,12.674351453955751,601.4623380396537,,,0.0,0.0,0.0
932,"9,10-Secocholesta-5,7,10(19)-triene-3,24,25-triol, (3ß,5Z,7E)-",,,,true,3569.411764705883,,6730,mainlib,28309,685,731,52.47999954223633,,0,81.82776972618161,1.9341510691423813,10.952223301195772,556.3374635940085,,,0.0,0.0,0.0
950,Ethyl iso-allocholate,,,,true,3267.4418604651173,,7020,mainlib,43053,656,682,13.390000343322754,,0,76.91911364941743,1.4057489729333803,10.625334942247719,477.22325371215993,,,0.0,0.0,0.0
1071,Ethyl iso-allocholate,,,,true,3117.7777777777783,,7020,mainlib,43053,615,631,10.739999771118164,,0,74.40770821479389,1.3758394203177764,9.533373187645338,520.9148479002316,,,0.0,0.0,0.0
1150,"2-Cyclohexene-1-carboxylic acid, 2-(7-hydroxy-3-methyl-1,3-octadienyl)-1,3-dimethyl-4-oxo-, methyl ester, [R-[R*,S*-(E,E)]]-",,,,true,3248.8372093023263,,7389,mainlib,15109,605,683,16.040000915527344,,0,76.61470086946305,1.4057489729333803,9.157030255591962,544.1446866870101,,,0.0,0.0,0.0
429,"Propanoic acid, 2-methyl-, (dodecahydro-6a-hydroxy-9a-methyl-3-methylene-2,9-dioxoazuleno[4,5-b]furan-6-yl)methyl ester, [3aS-(3aα,6ß,6aα,9aß,9bα)]-",,,,true,3386.0465116279065,,7396,mainlib,44093,670,704,13.40999984741211,,0,78.85974512162652,1.0268946398023984,23.884285828331485,611.1449273749988,,,0.0,0.0,0.0
870,"2-Cyclohexene-1-carboxylic acid, 1,3-dimethyl-2-(3-methyl-7-oxo-1,3-octadienyl)-4-oxo-, methyl ester, (+)-",,,,true,3386.0465116279065,,7462,mainlib,15040,634,700,13.0600004196167,,0,78.85974512162652,1.6151158412426072,11.41233878582716,673.5830408769446,,,0.0,0.0,0.0
830,"3-Desoxo-3,16-dihydroxy-12-desoxyphorbol 3,13,16,20-tetraacetate",,,,true,3300.0,,8568,mainlib,203005,572,581,8.619999885559082,,0,77.45183601433756,1.3160203150865688,12.355157908517867,475.48765064788563,,,0.0,0.0,0.0
911,"Phorbol 12,13,20-triacetate",,,,true,2431.858407079646,,9650,mainlib,202997,611,647,30.079999923706055,,0,61.05159749429599,0.9670755345711907,10.981023129890673,559.2698031894407,,,0.0,0.0,0.0
