"","r_date","Compound.Name","volume_tot","File_num","Category","Sample_Number","Sample_Time","amt_sampled_cm3","Quant_category","cal_curve","Extracted_Chla","Bulk_HB","T_O_D","Usable","Event","quant.proxy","quant_mw","keep","Class","quant.factor","vol_ng","vol_ng_per_L","vol_mol_per_L","vol_ppt","vol_ppt.max","vol_ppt.mean","vol_ppt.sd","vol_zscore","quant.proxy.f"
"1",2019-07-24 13:59:00,"benzothiazole",304143,NA,"Sample","g27","7/24/2019 13:59",2016,2,"cc_1",0.725469902,4.4e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,0.205502027027027,0.101935529279279,7.55077994661328e-13,18.8983185737821,101.345699718218,54.3642152665322,18.2521106787267,-1.94311207711919,"benzothiazole"
"2",2019-07-27 06:08:00,"benzothiazole",617463,NA,"Sample","g32","7/27/2019 6:08",2000,2,"cc_1",NA,NA,"Night",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,0.41720472972973,0.208602364864865,1.5452027027027e-12,38.6737968040541,101.345699718218,54.3642152665322,18.2521106787267,-0.859649535259814,"benzothiazole"
"3",2019-07-27 14:13:00,"benzothiazole",753121,NA,"Sample","g33","7/27/2019 14:13",2000,2,"cc_1",0.656432382,1.5e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,0.508865540540541,0.25443277027027,1.88468718718719e-12,47.1705163270771,101.345699718218,54.3642152665322,18.2521106787267,-0.394129701823445,"benzothiazole"
"4",2019-07-30 13:34:00,"benzothiazole",1618078,NA,"Sample","g36","7/30/2019 13:34",2000,2,"cc_1",1.589375316,2.9e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,1.09329594594595,0.546647972972973,4.04924424424424e-12,101.345699718218,101.345699718218,54.3642152665322,18.2521106787267,2.57403021922523,"benzothiazole"
"5",2019-07-31 13:56:00,"benzothiazole",1050936,NA,"Sample","g38","7/31/2019 13:56",2000,2,"cc_1",2.848445838,1.5e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,0.710091891891892,0.355045945945946,2.62996996996997e-12,65.8236773993994,101.345699718218,54.3642152665322,18.2521106787267,0.627843120972499,"benzothiazole"
"6",2019-08-02 06:13:00,"benzothiazole",1103360,NA,"Sample","g41","8/2/2019 6:13",2000,2,"cc_1",NA,NA,"Night",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,0.745513513513513,0.372756756756757,2.76116116116116e-12,69.1071698898899,101.345699718218,54.3642152665322,18.2521106787267,0.807739712018129,"benzothiazole"
"7",2019-08-02 13:36:00,"benzothiazole",1142130,NA,"Sample","g43","8/2/2019 13:36",2000,2,"cc_1",17.464382,7.6e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",1480000,0.771709459459459,0.38585472972973,2.85818318318318e-12,71.5354661636637,101.345699718218,54.3642152665322,18.2521106787267,0.940781655304394,"benzothiazole"
"8",2019-08-03 13:50:00,"benzothiazole",298509,NA,"Sample","g46","8/3/2019 13:50",2100,1,"cc_2",18.74240276,5e+09,"Day",TRUE,"Peak Chla","benzothiazole",135,1,"Anthropogenic",809000,0.368985166872682,0.175707222320325,1.30153498015055e-12,32.5752079437021,101.345699718218,54.3642152665322,18.2521106787267,-1.19378014446437,"benzothiazole"
"9",2019-08-04 13:41:00,"benzothiazole",472686,NA,"Sample","g48","8/4/2019 13:41",2000,1,"cc_2",6.753826262,4.2e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",809000,0.584284301606922,0.292142150803461,2.16401593187749e-12,54.1616399478094,101.345699718218,54.3642152665322,18.2521106787267,-0.0110987338554157,"benzothiazole"
"10",2019-08-05 13:34:00,"benzothiazole",525442,NA,"Sample","g49","8/5/2019 13:34",2000,1,"cc_2",14.61165707,4.6e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",809000,0.649495673671199,0.324747836835599,2.40553953211555e-12,60.2065650716477,101.345699718218,54.3642152665322,18.2521106787267,0.320091736673771,"benzothiazole"
"11",2019-08-06 05:20:00,"benzothiazole",473234,NA,"Sample","g50","8/6/2019 5:20",2000,1,"cc_2",NA,NA,"Night",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",809000,0.584961681087763,0.292480840543881,2.16652474476949e-12,54.2244312695143,101.345699718218,54.3642152665322,18.2521106787267,-0.00765851136224056,"benzothiazole"
"12",2019-08-06 13:39:00,"benzothiazole",564827,NA,"Sample","g52","8/6/2019 13:39",2000,1,"cc_2",4.327583712,9.6e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",809000,0.698179233621755,0.349089616810878,2.58584901341391e-12,64.7194048624273,101.345699718218,54.3642152665322,18.2521106787267,0.567342033925118,"benzothiazole"
"13",2019-08-07 14:01:00,"benzothiazole",491747,NA,"Sample","g53","8/7/2019 14:01",2000,1,"cc_2",4.946981612,1.3e+10,"Day",TRUE,"Peak HB","benzothiazole",135,1,"Anthropogenic",809000,0.607845488257107,0.303922744128554,2.25127958613744e-12,56.3457008657236,101.345699718218,54.3642152665322,18.2521106787267,0.10856199779135,"benzothiazole"
"14",2019-08-08 05:46:00,"benzothiazole",417341,NA,"Sample","g56","8/8/2019 5:46",2000,1,"cc_2",NA,NA,"Night",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",809000,0.515872682323857,0.257936341161928,1.91063956416243e-12,47.8200602037266,101.345699718218,54.3642152665322,18.2521106787267,-0.358542372331379,"benzothiazole"
"15",2019-08-09 13:52:00,"benzothiazole",542180,NA,"Sample","g58","8/9/2019 13:52",2000,1,"cc_2",5.958272598,4.5e+09,"Day",TRUE,NA,"benzothiazole",135,1,"Anthropogenic",809000,0.670185414091471,0.335092707045735,2.48216820033878e-12,62.1244503685391,101.345699718218,54.3642152665322,18.2521106787267,0.425169189394173,"benzothiazole"
